description,category,amount
Local Kirana Store,Groceries,5298.76
Courier charges,Others,6443.35
Kitchen,Food,450
Online course,Education,123.59
Vegetable market,Groceries,361.07
Adani power bill,Electricity,3702.36
Medicine purchase,Medical,5877.29
Concert entry,Entertainment,6953.42
Concert entry,Entertainment,1903.77
Monthly power charges,Electricity,4804.29
BESCOM electricity,Electricity,2724.47
Charity donation,Others,933.06
Courier charges,Others,8695.94
D-Mart shopping,Groceries,5186.91
Hospital lab tests,Medical,742.04
Emergency room charges,Medical,3923.38
Local boutique,Clothing,748.07
Starbucks coffee,Food,8214.76
Zara shopping,Clothing,6457.96
Local boutique,Clothing,4410.13
ATM withdrawal,Others,706.19
Local boutique,Clothing,7754.92
Exam registration,Education,6650.29
Online course,Education,4179.59
Local boutique,Clothing,2882.96
Electricity recharge,Electricity,7311.41
Stationery shopping,Education,8536.65
Laundry service,Others,1717.1
Domino's Pizza,Food,9704.51
Exam registration,Education,605.33
Online course,Education,6985.95
Charity donation,Others,6694.07
Laptop accessories,Electronics,6608.42
Clinic consultation,Medical,6037.07
TNEB bill,Electricity,3255.19
Electronic shop bill,Electronics,7272.59
Stationery shopping,Education,8046.34
BESCOM electricity,Electricity,9876.96
Medicine purchase,Medical,353.07
Apollo Pharmacy,Medical,7929.75
Monthly power charges,Electricity,9722.39
Exam registration,Education,4290.26
Courier charges,Others,5241.05
Petrol station,Travel,1901.32
Gift shop,Others,605.63
BESCOM electricity,Electricity,1106.08
Clinic consultation,Medical,9411.58
Netflix subscription,Entertainment,9646.02
ATM withdrawal,Others,5967.65
Domino's Pizza,Food,1318.08
Myntra fashion,Clothing,2468.5
Courier charges,Others,4164.2
Monthly power charges,Electricity,8216.64
Local boutique,Clothing,101.75
Laptop accessories,Electronics,7830.02
Electronic shop bill,Electronics,7677.48
Stationery shopping,Education,1295.45
Flight booking,Travel,2807.1
Amazon headphones,Electronics,5067.9
Courier charges,Others,5242.9
Amusement park tickets,Entertainment,3276.37
Clinic consultation,Medical,6969.58
Domino's Pizza,Food,6671.53
Adani power bill,Electricity,7207.4
Local Kirana Store,Groceries,2832.44
Exam registration,Education,370.29
Tuition fees,Education,8603.61
Starbucks coffee,Food,6921.26
Domino's Pizza,Food,7288.6
Uber ride,Travel,7948.53
Adani power bill,Electricity,8785.66
Medicine purchase,Medical,3083.73
Daily fruits and milk,Groceries,2942.11
Vegetable market,Groceries,6111.22
BESCOM electricity,Electricity,8833.18
Hospital lab tests,Medical,7599.16
Electronic shop bill,Electronics,9278.49
Amusement park tickets,Entertainment,6846.62
Concert entry,Entertainment,1046.08
Amusement park tickets,Entertainment,5968.92
Laptop accessories,Electronics,7314.97
Domino's Pizza,Food,8271.46
Zara shopping,Clothing,896.66
Book store,Education,7222.03
Burger King meal,Food,2268.84
Adani power bill,Electricity,497.65
Domino's Pizza,Food,6213.92
Laptop accessories,Electronics,2201.69
Amusement park tickets,Entertainment,6400.47
Apollo Pharmacy,Medical,5119.3
Electricity recharge,Electricity,2658.38
Winter wear purchase,Clothing,3135.2
Concert entry,Entertainment,5324.21
Flight booking,Travel,4365.38
Courier charges,Others,9525.69
D-Mart shopping,Groceries,2751.2
Online course,Education,6676.12
Movie ticket,Entertainment,3717.9
McDonald's order,Food,2601.33
Myntra fashion,Clothing,7934.3
BESCOM electricity,Electricity,5579.85
Zara shopping,Clothing,3794.5
Winter wear purchase,Clothing,5898.54
Ola cab,Travel,1042.57
Courier charges,Others,5161.97
TNEB bill,Electricity,5559.87
Uber ride,Travel,5505.43
Adani power bill,Electricity,5811.27
Myntra fashion,Clothing,8264.89
Spotify premium,Entertainment,9278.67
Local boutique,Clothing,8735.04
Charity donation,Others,6759.87
BESCOM electricity,Electricity,1864.81
Monthly power charges,Electricity,1715.8
D-Mart shopping,Groceries,7055.71
Courier charges,Others,7582.54
Mobile purchase,Electronics,6480.46
Concert entry,Entertainment,9473.52
Daily fruits and milk,Groceries,8152.88
Vegetable market,Groceries,3094.21
Medicine purchase,Medical,175.57
Laundry service,Others,4379.5
Zara shopping,Clothing,75.83
Flight booking,Travel,9622.74
Spotify premium,Entertainment,2012.52
Local boutique,Clothing,8779.47
Starbucks coffee,Food,8111.36
Apollo Pharmacy,Medical,4568.43
Gift shop,Others,9138.88
Monthly power charges,Electricity,3385.6
Movie ticket,Entertainment,9114.83
Starbucks coffee,Food,3179.37
Ola cab,Travel,1580.67
ATM withdrawal,Others,734.53
Adani power bill,Electricity,6711.82
Concert entry,Entertainment,3308.19
Netflix subscription,Entertainment,5835.44
Amusement park tickets,Entertainment,8668.93
Spotify premium,Entertainment,3212.88
Amazon headphones,Electronics,8901.66
Flight booking,Travel,139.87
Laptop accessories,Electronics,713.17
Courier charges,Others,774.9
BESCOM electricity,Electricity,9025.9
Vegetable market,Groceries,6377.22
D-Mart shopping,Groceries,1516.99
Big Bazaar groceries,Groceries,55.88
Petrol station,Travel,5728.79
Mobile purchase,Electronics,6971.09
Netflix subscription,Entertainment,2098.33
Train ticket,Travel,90.24
Movie ticket,Entertainment,7301.97
Exam registration,Education,7954.99
Flight booking,Travel,3761.65
Flight booking,Travel,6519.72
Uber ride,Travel,6229.62
TV repair charges,Electronics,6193.32
Laptop accessories,Electronics,6838.1
Flight booking,Travel,3925.37
Domino's Pizza,Food,1082.72
Electricity recharge,Electricity,9638.09
Adani power bill,Electricity,1071.96
Flight booking,Travel,7957.55
Zara shopping,Clothing,5730.59
Book store,Education,6456.22
Uber ride,Travel,211.89
Laundry service,Others,4606.75
Charity donation,Others,1384.35
Vegetable market,Groceries,4832.47
Apollo Pharmacy,Medical,3327.62
Train ticket,Travel,8723.99
Gift shop,Others,2251.13
Daily fruits and milk,Groceries,287.3
Charity donation,Others,8457.23
Clinic consultation,Medical,4036.52
Ola cab,Travel,9008.62
Domino's Pizza,Food,6786.98
Zara shopping,Clothing,7020.35
Flight booking,Travel,6420.84
Starbucks coffee,Food,728.14
Online course,Education,9521.37
Emergency room charges,Medical,6639.08
Spotify premium,Entertainment,9841.31
Book store,Education,5787.66
McDonald's order,Food,7890.62
Mobile purchase,Electronics,5176.47
Ola cab,Travel,2929.35
Netflix subscription,Entertainment,1674.43
Vegetable market,Groceries,329.77
Flight booking,Travel,9192.52
Hospital lab tests,Medical,810.49
Amusement park tickets,Entertainment,453.92
Petrol station,Travel,3644.03
Pantaloons bill,Clothing,955.95
Zara shopping,Clothing,733.74
Uber ride,Travel,1215.51
Cafe Latte and Sandwich,Food,2382.6
Winter wear purchase,Clothing,5411.41
Netflix subscription,Entertainment,1525.37
Domino's Pizza,Food,8177.06
Emergency room charges,Medical,8793.21
Local Kirana Store,Groceries,8046.09
Concert entry,Entertainment,6374.59
ATM withdrawal,Others,4694.48
Mobile purchase,Electronics,9632.06
Domino's Pizza,Food,8192.7
Flight booking,Travel,815.6
Book store,Education,4172.65
Emergency room charges,Medical,9612.25
Monthly power charges,Electricity,1084.52
Daily fruits and milk,Groceries,1795.26
Charity donation,Others,5027.79
Movie ticket,Entertainment,4938.16
Train ticket,Travel,7742.81
Netflix subscription,Entertainment,828.33
Medicine purchase,Medical,7148.73
ATM withdrawal,Others,4105.97
Pantaloons bill,Clothing,1455.8
Starbucks coffee,Food,2885.26
Uber ride,Travel,9384.14
Local boutique,Clothing,5583.54
Daily fruits and milk,Groceries,2665.69
Clinic consultation,Medical,1925.91
Exam registration,Education,9647.56
Apollo Pharmacy,Medical,6582.49
Hospital lab tests,Medical,9970.62
Local Kirana Store,Groceries,9998.86
Monthly power charges,Electricity,9171.83
Amusement park tickets,Entertainment,379.84
Netflix subscription,Entertainment,8160.68
Laundry service,Others,1930.19
Laptop accessories,Electronics,2092.0
BESCOM electricity,Electricity,6507.13
Flight booking,Travel,4252.75
Book store,Education,8359.59
Medicine purchase,Medical,57.69
Movie ticket,Entertainment,8617.37
Amusement park tickets,Entertainment,1848.65
Adani power bill,Electricity,3089.64
Spotify premium,Entertainment,1568.02
Spotify premium,Entertainment,6017.07
Gift shop,Others,7232.62
Pantaloons bill,Clothing,1760.78
Daily fruits and milk,Groceries,2865.27
Charity donation,Others,4616.8
Myntra fashion,Clothing,7408.6
Tuition fees,Education,3554.77
ATM withdrawal,Others,6273.27
Vegetable market,Groceries,3058.44
Myntra fashion,Clothing,2709.97
Uber ride,Travel,6992.7
Book store,Education,3191.13
Pantaloons bill,Clothing,8977.16
Local boutique,Clothing,7395.21
Spotify premium,Entertainment,7025.95
Pantaloons bill,Clothing,6407.95
Train ticket,Travel,2467.5
Medicine purchase,Medical,6269.04
Courier charges,Others,2951.15
Medicine purchase,Medical,178.79
Clinic consultation,Medical,9419.6
Emergency room charges,Medical,4009.88
Amusement park tickets,Entertainment,6023.45
Gift shop,Others,8862.49
Local boutique,Clothing,8839.01
Local boutique,Clothing,4167.73
Daily fruits and milk,Groceries,4325.32
Ola cab,Travel,698.94
TNEB bill,Electricity,2687.22
Charity donation,Others,5225.13
Tuition fees,Education,2353.77
Vegetable market,Groceries,7383.76
Mobile purchase,Electronics,3413.94
Charity donation,Others,6885.58
Netflix subscription,Entertainment,9118.56
Exam registration,Education,7905.69
Exam registration,Education,8080.85
Vegetable market,Groceries,8424.67
Big Bazaar groceries,Groceries,3779.72
TNEB bill,Electricity,935.6
Medicine purchase,Medical,4013.17
Local boutique,Clothing,1016.1
D-Mart shopping,Groceries,7271.84
Stationery shopping,Education,2736.64
Clinic consultation,Medical,8959.9
Petrol station,Travel,9301.6
Zara shopping,Clothing,5863.86
Laptop accessories,Electronics,2378.32
Book store,Education,57.89
Book store,Education,3253.82
Book store,Education,6527.84
Clinic consultation,Medical,9681.64
Burger King meal,Food,2745.33
Starbucks coffee,Food,6664.91
Electricity recharge,Electricity,7806.06
Spotify premium,Entertainment,1610.53
McDonald's order,Food,6856.68
Petrol station,Travel,3048.21
Winter wear purchase,Clothing,7380.59
Daily fruits and milk,Groceries,451.42
Tuition fees,Education,7671.71
Local boutique,Clothing,6105.95
Big Bazaar groceries,Groceries,9648.16
Exam registration,Education,4673.06
Laundry service,Others,6863.47
Local Kirana Store,Groceries,8248.36
Monthly power charges,Electricity,9811.5
TV repair charges,Electronics,65.19
ATM withdrawal,Others,3180.02
Daily fruits and milk,Groceries,5869.74
Electronic shop bill,Electronics,3548.22
Laptop accessories,Electronics,9159.88
Stationery shopping,Education,1663.85
Vegetable market,Groceries,8564.75
McDonald's order,Food,6691.31
Laundry service,Others,6621.61
Flight booking,Travel,2392.38
Laundry service,Others,2952.59
Myntra fashion,Clothing,915.06
Train ticket,Travel,6339.57
